name,hp,atk,def,spa,spd,spe,weight,height,formats,generation,format codes,Weaknesses,Strong Weaknesses,Resists,Strong Resists,Immune,STAB,Resistance Index,Entry Hazards,Hazard Removal,Removal Deterrent,Cleric,Pivot,Item Removal,Setup,Priority,HP Drain,HP Recovery,Weather Set,Weather Gimmick,Physical Cutoff 1,Physical Cutoff 2,Physical Cutoff 3,Physical Cutoff 4,Physical Cutoff 5,Physical Cutoff 6,Physical Coverage 1,Physical Coverage 2,Physical Coverage 3,Physical Coverage 4,Special Cutoff 1,Special Cutoff 2,Special Cutoff 3,Special Cutoff 4,Special Cutoff 5,Special Cutoff 6,Special Cutoff 7,Special Coverage 1,Special Coverage 2,Special Coverage 3,Special Coverage 4,Special Coverage 5,Special Coverage 6,Special Coverage 7,Special Coverage 8,Special Coverage 9,Special Coverage 10,Misc Status,Unique Powerful Move,Ability Cutoff 1,Ability Cutoff 2,Ability Cutoff 3,Ability Cutoff 4,Ability Cutoff 5,Ability Cutoff 6,Best Ability,Best Ability <100,Unique Powerful Ability,oldformats,oldformat codes
Blastoise,79,83,100,85,105,78,85.5,1.6,NU,RB,2,2,0,4,0,0,1,2,0,1,0,0,3,0,5,2,0,0,0,2,19,18,11,9,4,1,10,10,10,3.0,11,9,9,8,8,5,3,9,8,8,7,7,4.0,4.0,3.0,2.0,2.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,NU,0
Nidoqueen,90,92,87,75,85,76,60.0,1.3,UU,RB,4,4,0,4,1,1,2,6,2,0,0,0,0,0,2,2,0,0,0,2,26,25,18,14,5,1,15,15,12,3.0,15,13,13,12,12,10,5,10,10,10,10,10,5.0,5.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,0,UU,2
Nidoking,81,102,77,85,75,85,62.0,1.4,OU,RB,5,4,0,4,1,1,2,6,2,0,0,0,0,0,2,2,0,0,0,2,28,27,20,15,6,1,15,14,13,5.0,15,13,13,12,12,10,5,11,11,11,10,10,5.0,5.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,55.55555555555556,55.55555555555556,0,OU,3
Clefable,95,70,73,95,90,60,40.0,1.3,OU,RB,5,2,0,3,0,1,1,5,2,0,0,2,1,2,3,0,2,1,0,2,14,13,7,6,3,1,11,10,10,2.0,18,15,14,13,13,11,6,11,10,10,10,8,6.0,5.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,OU,3
Vileplume,75,80,85,110,90,50,18.6,1.2,NU,RB,2,4,0,4,1,0,2,2,0,0,0,1,0,1,4,0,2,2,0,5,3,3,1,0,0,0,2,2,2,1.0,6,6,6,6,6,4,3,5,5,5,5,5,2.0,2.0,2.0,1.0,1.0,4,1,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,NU,0
Arcanine,90,110,80,100,80,95,155.0,1.9,NU,RB,2,3,0,6,0,0,1,3,0,0,0,0,1,0,3,2,0,0,0,1,13,13,11,8,5,2,11,11,10,4.0,7,6,6,5,3,3,2,5,5,5,5,3,2.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,71.42857142857143,71.42857142857143,0,NU,0
Tentacruel,80,70,65,80,120,100,55.0,1.6,UU,RB,4,3,0,8,0,0,2,5,1,1,0,0,0,2,4,0,2,0,0,1,3,3,2,1,0,0,4,4,3,1.0,10,8,8,8,8,7,5,8,7,6,6,5,3.0,3.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,1,UU,2
Slowbro,95,75,110,100,80,30,78.5,1.6,OU,RB,5,5,0,6,0,0,2,1,0,0,0,0,1,0,4,0,2,2,0,2,12,11,6,6,4,1,10,10,8,2.0,16,14,13,12,12,9,6,10,10,10,10,9,8.0,8.0,5.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,25.0,0,OU,3
Cloyster,50,95,180,85,45,70,132.5,1.5,RU,RB,3,4,0,1,1,0,2,-1,3,1,0,0,1,0,5,2,0,0,0,2,8,8,7,6,3,2,8,6,5,2.0,6,4,4,3,3,2,2,4,4,4,4,3,3.0,3.0,1.0,1.0,1.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,1,RU,1
Chansey,250,5,5,35,105,50,34.6,1.1,UU,RB,4,1,0,0,0,1,1,3,2,0,0,2,1,0,3,0,2,0,0,2,14,13,6,6,2,1,9,9,9,2.0,14,11,10,9,9,7,3,9,8,8,8,7,5.0,4.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,UU,2
Starmie,60,75,85,100,85,115,80.0,1.1,NU,RB,2,5,0,6,0,0,2,1,0,1,0,0,3,0,3,0,0,1,0,2,4,4,3,0,0,0,5,4,2,1.0,15,13,13,12,12,9,4,9,9,8,8,8,5.0,4.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,66.66666666666666,0,NU,0
Tauros,75,100,95,40,70,110,88.4,1.4,NU,RB,2,1,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,2,16,16,11,9,4,2,10,10,10,4.0,8,6,6,6,6,5,3,5,5,5,5,5,4.0,4.0,2.0,1.0,1.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,71.42857142857143,71.42857142857143,0,NU,0
Gyarados,95,125,79,60,100,81,235.0,6.5,UU,RB,4,1,1,5,0,1,2,6,0,0,0,0,0,0,4,0,0,0,0,3,13,13,11,8,5,2,11,11,9,3.0,13,11,11,10,10,8,6,8,8,8,8,8,6.0,6.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,UU,2
Vaporeon,130,65,60,110,95,65,29.0,1.0,NU,RB,2,2,0,4,0,0,1,2,0,0,0,2,3,0,2,1,0,0,0,2,4,4,2,1,0,0,6,6,4,1.0,9,6,5,5,5,3,3,6,4,4,4,4,3.0,3.0,1.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,57.14285714285714,57.14285714285714,0,NU,0
Aerodactyl,80,105,65,60,75,130,59.0,1.8,NU,RB,2,5,0,5,0,1,2,4,2,1,0,0,0,0,4,0,0,1,0,3,16,16,12,9,5,1,13,13,9,2.0,6,6,6,5,4,4,3,6,6,6,6,5,3.0,3.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,NU,0
Snorlax,160,110,65,65,110,30,460.0,2.1,RU,RB,3,1,0,0,0,1,1,3,0,0,0,0,0,0,3,0,0,0,0,2,25,24,16,13,7,1,14,13,13,5.0,13,10,10,10,10,8,4,10,9,9,9,9,7.0,7.0,4.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,RU,1
Zapdos,90,90,85,125,90,100,52.6,1.6,OU,RB,5,2,0,5,0,1,2,7,0,1,0,0,3,0,3,0,0,1,0,3,4,4,3,3,1,1,5,5,3,2.0,5,5,5,5,4,4,1,8,7,6,6,5,3.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,OU,3
Moltres,90,100,90,125,85,90,60.0,2.0,UU,RB,4,2,1,4,2,1,2,8,0,1,0,0,3,0,3,0,0,1,0,3,4,4,3,3,2,2,5,5,3,3.0,7,7,7,7,6,6,4,7,7,6,6,4,3.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,UU,2
Dragonite,91,134,95,100,100,80,210.0,2.2,OU,RB,5,3,1,4,1,1,2,5,0,1,0,1,0,0,4,2,0,1,0,3,21,20,14,12,6,1,13,13,11,3.0,15,13,13,12,11,10,6,9,8,8,8,8,8.0,8.0,4.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,12.5,0,OU,3
Mewtwo,106,110,90,154,90,130,122.0,2.0,Uber,RB,6,3,0,2,0,0,1,-1,0,0,0,0,1,0,4,0,2,1,0,3,18,17,9,8,4,1,13,13,12,2.0,18,16,15,14,14,11,5,12,11,11,11,9,7.0,7.0,4.0,1.0,1.0,3,1,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,Uber,4
Mew,100,100,100,100,100,100,4.0,0.4,UU,RB,4,3,0,2,0,0,1,-1,3,1,0,1,3,2,4,2,2,1,0,3,63,62,51,36,23,8,18,18,18,10.0,38,35,34,32,29,23,11,18,18,18,18,18,9.0,9.0,6.0,1.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,UU,2
Azumarill,100,50,80,60,80,50,28.5,0.8,UU,GS,4,3,0,6,0,1,2,7,0,0,0,0,0,2,3,2,1,0,0,2,12,11,7,4,2,0,10,9,8,3.0,10,7,7,7,7,5,3,6,6,6,6,5,5.0,5.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,1,UU,2
Mantine,85,40,70,80,140,70,220.0,2.1,NU,GS,2,1,1,5,0,1,2,6,0,1,0,0,0,0,3,0,0,1,0,5,15,15,11,7,2,1,10,10,9,2.0,8,6,6,6,6,5,4,7,6,5,5,4,4.0,4.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,NU,0
Raikou,90,85,75,115,100,115,178.0,1.9,RU,GS,3,1,0,3,0,0,1,2,0,0,0,0,3,0,3,2,0,0,0,2,7,7,5,4,1,0,6,6,5,1.0,7,7,7,7,6,5,1,8,7,7,7,6,2.0,2.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,RU,1
Suicune,100,75,115,90,115,85,187.0,2.0,RU,GS,3,2,0,4,0,0,1,2,0,0,0,0,0,0,3,2,0,0,0,2,7,7,5,3,1,0,7,7,5,1.0,9,7,7,7,6,4,3,8,7,7,7,5,3.0,3.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0,RU,1
Crobat,85,90,80,70,80,130,75.0,1.8,RU,GS,3,4,0,2,3,1,2,8,0,1,0,0,3,0,4,1,2,1,0,3,8,8,4,3,2,1,8,7,5,2.0,7,7,7,7,6,4,2,8,8,6,6,6,2.0,2.0,1.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,60.0,60.0,0,RU,1
Quagsire,95,85,85,65,65,35,75.0,1.4,UU,GS,4,0,1,4,0,1,2,6,0,0,0,0,0,0,2,0,0,1,0,1,14,13,8,6,3,1,8,8,7,2.0,10,8,8,8,8,7,5,8,7,7,7,6,4.0,4.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,57.14285714285714,57.14285714285714,0,UU,2
Espeon,65,65,60,130,95,110,26.5,0.9,NU,GS,2,3,0,2,0,0,1,-1,0,2,0,2,0,0,3,1,0,0,0,2,4,4,1,1,1,0,6,5,4,1.0,8,7,6,6,6,4,1,6,5,5,5,5,3.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,NU,0
Umbreon,95,65,110,60,130,65,27.0,1.0,RU,GS,3,3,0,2,0,1,1,3,0,0,0,2,0,0,2,2,0,1,0,2,6,6,3,3,2,0,5,4,4,1.0,6,5,4,4,3,1,0,6,5,5,5,5,3.0,2.0,2.0,1.0,1.0,2,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,RU,1
Slowking,95,75,80,100,110,30,79.5,2.0,OU,GS,5,5,0,6,0,0,2,1,0,0,0,0,1,0,4,0,2,2,0,2,12,11,6,6,3,1,10,10,8,2.0,17,15,14,13,13,10,6,11,11,11,11,10,8.0,8.0,5.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,25.0,0,OU,3
Steelix,75,85,200,55,65,30,400.0,9.2,RU,GS,3,4,0,7,1,2,2,13,2,0,0,0,0,0,4,0,0,0,0,1,22,22,18,12,8,1,12,12,8,3.0,5,5,5,3,3,1,0,6,6,6,6,5,2.0,2.0,2.0,2.0,1.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,RU,1
Scizor,70,130,100,55,80,65,118.0,1.8,UU,GS,4,0,1,7,1,1,2,11,0,1,0,0,3,2,4,3,0,1,0,0,11,10,7,2,0,0,9,8,4,2.0,4,4,4,3,2,1,0,5,5,5,5,3,2.0,2.0,2.0,2.0,1.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,UU,2
Heracross,80,125,75,40,95,85,54.0,1.5,RU,GS,3,3,1,5,0,0,2,0,3,0,0,0,0,2,5,2,0,0,0,0,21,20,13,8,4,2,10,9,6,3.0,1,1,1,1,1,1,0,4,4,4,3,2,2.0,2.0,2.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,80.0,0,RU,1
Skarmory,65,80,140,40,70,70,50.5,1.7,OU,GS,5,2,0,6,2,2,2,16,3,1,0,0,0,0,4,0,0,1,0,0,10,10,6,5,2,1,8,7,6,2.0,5,4,4,3,3,1,0,7,6,5,5,2,1.0,1.0,1.0,1.0,0.0,2,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,OU,3
Porygon2,85,80,90,105,95,60,32.5,0.6,RU,GS,3,1,0,0,0,1,1,3,0,0,0,0,1,0,3,0,0,1,0,2,3,3,1,1,1,0,5,5,4,1.0,10,8,8,7,7,6,2,5,5,5,5,5,4.0,3.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,66.66666666666666,0,RU,1
Blissey,255,10,10,75,135,55,46.8,1.5,OU,GS,5,1,0,0,0,1,1,3,2,0,0,2,1,0,3,0,2,0,0,2,14,13,6,6,2,1,9,9,9,2.0,15,12,11,10,10,8,3,10,9,9,9,8,6.0,5.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,OU,3
Tyranitar,100,134,110,95,100,61,202.0,2.0,OU,GS,5,6,1,6,0,1,2,2,2,0,0,0,0,0,4,0,0,0,1,2,32,31,22,15,8,1,14,14,11,3.0,13,12,12,11,10,8,4,10,10,10,10,9,6.0,6.0,2.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,25.0,0,OU,3
Lugia,106,90,130,90,154,110,216.0,5.2,Uber,GS,6,5,0,2,1,1,2,3,0,1,0,0,0,0,3,0,2,1,0,3,9,9,6,5,2,1,9,9,7,2.0,16,13,13,12,12,10,4,10,10,10,10,9,6.0,6.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,73.33333333333333,0,Uber,4
Ho-Oh,106,130,90,110,154,90,199.0,3.8,Uber,GS,6,2,1,4,2,1,2,8,0,1,0,0,0,0,3,0,2,2,0,2,7,7,5,5,3,3,7,7,6,3.0,13,12,12,12,11,10,3,9,9,9,9,6,4.0,4.0,4.0,1.0,1.0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,100.0,73.33333333333333,0,Uber,4
Celebi,100,100,100,100,100,100,5.0,0.6,NU,GS,2,6,1,6,0,0,2,-2,2,0,0,1,3,0,4,2,2,1,0,2,5,5,3,2,1,1,4,4,3,1.0,9,9,9,9,9,6,1,11,11,11,11,8,3.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,NU,0
Milotic,95,60,79,100,125,81,162.0,6.2,RU,RS,3,2,0,4,0,0,1,2,0,0,2,0,3,0,4,0,0,1,0,2,7,7,5,4,2,0,8,8,3,1.0,7,5,5,4,4,3,3,6,6,5,5,4,3.0,3.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,33.33333333333333,1,RU,1
Swampert,100,110,90,85,90,60,81.9,1.5,OU,RS,5,0,1,4,0,1,2,6,2,0,0,0,3,0,3,0,0,0,0,1,21,20,14,9,5,1,9,9,9,3.0,9,7,7,7,7,6,4,7,7,7,7,6,4.0,4.0,3.0,2.0,2.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,75.0,75.0,0,OU,3
Gardevoir,68,65,65,125,115,80,48.4,1.6,RU,RS,3,3,0,1,1,1,2,4,0,0,0,2,1,2,3,2,1,0,0,2,7,7,3,3,2,0,6,6,5,1.0,14,12,11,11,11,8,3,10,9,9,9,7,3.0,3.0,3.0,1.0,1.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,RU,1
Exploud,104,91,63,91,73,68,84.0,1.5,NU,RS,2,1,0,0,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,1,20,19,11,7,3,1,11,10,10,2.0,12,9,9,9,9,7,5,10,9,8,8,7,5.0,5.0,3.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,NU,0
Registeel,80,75,150,75,150,50,205.0,1.9,RU,RS,3,3,0,10,0,1,1,11,2,0,0,0,0,0,3,0,0,0,0,2,19,18,12,8,5,1,9,9,7,3.0,5,5,5,4,4,3,0,6,5,5,5,4,4.0,4.0,4.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,RU,1
Pelipper,60,50,100,95,70,65,28.0,1.2,OU,RS,5,1,1,5,0,1,2,6,0,1,0,0,3,2,3,1,0,1,1,3,4,4,3,3,1,1,7,7,5,3.0,8,6,6,6,6,5,4,7,6,5,5,4,4.0,4.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,OU,3
Flygon,80,100,80,80,80,100,82.0,2.0,NU,RS,2,2,1,3,0,1,2,3,0,1,0,0,3,0,4,2,2,1,0,1,18,18,14,11,5,1,12,11,10,3.0,9,9,9,8,6,6,4,6,6,6,6,5,3.0,3.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,NU,0
Ninjask,61,90,45,50,50,160,12.0,0.8,NU,RS,2,4,1,1,2,1,2,3,0,1,0,0,3,0,5,0,2,1,0,1,5,5,3,1,0,0,6,6,3,1.0,3,3,3,3,2,1,0,6,4,4,4,3,1.0,1.0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,60.0,0,NU,0
Sharpedo,70,120,40,95,40,95,88.8,1.8,RU,RS,3,5,0,6,0,1,2,5,0,0,0,0,3,0,5,2,0,0,0,1,14,14,10,7,5,2,12,11,8,2.0,8,6,6,6,5,3,3,6,5,5,5,4,3.0,3.0,1.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,66.66666666666666,0,RU,1
Crawdaunt,63,120,85,90,55,55,32.8,1.1,UU,RS,4,5,0,6,0,1,2,5,0,0,0,0,0,2,4,2,0,0,0,1,11,10,6,4,2,1,10,10,7,2.0,10,8,8,8,7,5,5,7,7,7,7,5,3.0,3.0,1.0,1.0,1.0,2,1,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,UU,2
Salamence,95,135,80,110,80,100,102.6,1.5,UU,RS,4,3,1,4,1,1,2,5,0,1,0,1,0,0,4,0,0,1,0,3,16,15,11,8,4,1,14,14,10,2.0,9,8,8,7,6,6,5,6,5,5,5,5,5.0,5.0,2.0,1.0,1.0,2,0,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,UU,2
Metagross,80,135,130,95,90,70,550.0,1.6,RU,RS,3,4,0,8,1,1,2,10,2,0,0,0,0,0,3,2,0,0,0,1,17,16,10,7,5,2,11,11,8,2.0,8,7,7,6,6,3,2,7,6,6,6,5,2.0,2.0,2.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,0,RU,1
Kyogre,100,100,90,150,140,90,352.0,4.5,Uber,RS,6,2,0,4,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,2,10,9,6,5,2,1,7,7,6,1.0,8,6,6,6,6,5,3,6,5,5,5,4,4.0,4.0,1.0,1.0,1.0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0,Uber,4
Groudon,100,150,140,100,90,90,950.0,3.5,Uber,RS,6,3,0,2,0,1,1,3,2,0,0,0,0,0,4,0,0,0,1,2,20,19,13,10,5,1,12,12,8,1.0,8,8,8,7,7,7,2,7,7,7,7,6,4.0,4.0,3.0,1.0,1.0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Uber,4
Rayquaza,105,150,90,150,90,95,206.5,7.0,Uber,RS,6,3,1,4,1,1,2,5,0,1,0,0,0,0,4,2,0,0,0,3,16,15,12,9,5,1,12,12,9,2.0,18,15,15,14,14,12,6,11,11,11,11,10,8.0,8.0,4.0,1.0,1.0,3,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Uber,4
Jirachi,100,100,100,100,100,100,1.1,0.3,UU,RS,4,4,0,8,1,1,2,10,2,0,0,1,3,0,3,0,2,0,0,2,10,10,5,5,3,1,9,9,8,1.0,16,15,14,13,13,9,3,13,12,12,12,9,5.0,5.0,4.0,2.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,UU,2
Rotom-Heat,50,65,107,105,107,86,0.3,0.3,UU,DP,4,2,1,7,1,0,2,5,0,1,0,0,3,0,4,2,0,0,0,2,3,3,2,2,2,1,3,3,2,1.0,9,8,7,7,7,5,0,8,7,6,6,6,3.0,2.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,UU,2
Rotom-Wash,50,65,107,105,107,86,0.3,0.3,UU,DP,4,2,0,4,1,0,2,4,0,1,0,0,3,0,4,2,0,0,0,2,3,3,2,2,2,1,3,3,2,1.0,9,8,7,7,7,5,1,8,7,6,6,6,3.0,2.0,0.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,UU,2
Rotom-Mow,50,65,107,105,107,86,0.3,0.3,NU,DP,2,4,0,3,1,0,2,1,0,1,0,0,3,0,4,2,0,0,0,2,3,3,2,2,2,1,3,3,2,1.0,9,8,7,7,7,5,1,8,7,6,6,6,3.0,2.0,1.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,0.0,88.88888888888889,88.88888888888889,0,NU,0
Roserade,60,70,65,125,105,90,14.5,0.9,RU,DP,3,4,0,4,1,0,2,2,3,0,0,1,0,0,4,3,2,0,0,2,5,5,3,2,1,1,4,4,3,2.0,6,6,6,6,6,3,2,7,6,6,6,6,2.0,2.0,2.0,1.0,1.0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,100.0,50.0,0,RU,1
Togekiss,85,50,95,120,115,80,38.0,1.5,RU,DP,3,5,0,2,2,2,2,9,0,1,0,2,0,0,4,2,2,1,0,1,9,8,4,3,1,0,7,6,5,3.0,15,14,13,12,11,9,4,13,12,11,11,7,4.0,4.0,3.0,1.0,1.0,3,0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0,RU,1
Magnezone,70,70,115,130,90,60,180.0,1.2,OU,DP,5,2,1,9,2,1,2,13,0,0,0,0,3,0,2,0,0,0,0,2,7,7,6,5,3,0,5,4,4,2.0,6,6,6,4,4,3,0,3,3,3,3,3,3.0,3.0,3.0,2.0,1.0,3,0,1.0,1.0,1.0,0.0,0.0,0.0,66.66666666666666,66.66666666666666,1,OU,3
Heatran,91,90,106,130,106,77,430.0,1.7,OU,DP,5,2,1,4,5,1,2,14,2,0,0,0,0,0,3,0,0,0,0,1,14,14,11,9,7,1,8,8,6,2.0,9,9,9,7,6,4,2,7,7,7,7,6,3.0,3.0,3.0,2.0,1.0,3,1,1.0,1.0,1.0,1.0,0.0,0.0,80.0,80.0,0,OU,3
Gastrodon,111,83,68,92,82,39,29.9,0.9,RU,DP,3,0,1,4,0,1,2,6,0,0,0,0,0,0,2,0,0,1,0,2,8,8,5,3,2,1,6,6,4,1.0,10,8,8,8,8,7,6,7,6,6,6,5,3.0,3.0,1.0,1.0,1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,RU,1
