name,hp,atk,def,spa,spd,spe,Resistance Index,Entry Hazards,Cleric,Pivot,Item Removal,Setup,Priority,Weather Gimmick,Physical Cutoff 3,Physical Coverage 3,Special Cutoff 3,Special Coverage 5,Misc Status,Unique Powerful Move,Best Ability,HP Recovery,stats,learnsets,formats,formats2
Blastoise,79,83,100,85,105,78,2,0,0,3,0,5,2,2,12,10,11,7,4,0,75.0,0,3,9,NU,Yes
Nidoqueen,90,92,87,75,85,76,6,2,0,0,0,2,2,2,18,12,15,10,2,0,50.0,0,2,2,UU,Yes
Nidoking,81,102,77,85,75,85,6,2,0,0,0,2,2,2,19,13,15,10,2,0,50.0,0,4,2,OU,Yes
Clefable,95,70,73,95,90,60,5,2,3,1,2,3,0,2,8,10,17,8,3,0,100.0,3,2,11,Uber,Yes
Vileplume,75,80,85,110,90,50,2,0,1,0,1,4,0,5,2,2,7,5,4,0,66.66666666666666,4,3,5,RU,Yes
Arcanine,90,110,80,100,80,95,3,0,0,1,0,3,2,1,10,10,9,3,3,0,77.77777777777779,3,3,8,NU,Yes
Tentacruel,80,70,65,80,120,100,5,1,0,0,2,4,0,1,2,3,9,5,4,0,64.28571428571429,2,3,1,UU,Yes
Slowbro,95,75,110,100,80,30,1,0,0,1,0,4,0,2,7,8,15,9,3,0,100.0,4,2,9,OU,Yes
Cloyster,50,95,180,85,45,70,-1,3,0,1,0,5,2,2,6,5,5,3,4,0,100.0,0,0,1,RU,Yes
Chansey,250,5,5,35,105,50,3,2,3,1,0,3,0,2,9,9,13,7,3,0,100.0,3,2,11,UU,Yes
Starmie,60,75,85,100,85,115,1,0,0,3,0,3,0,2,3,2,14,8,4,0,100.0,3,4,1,UU,Yes
Tauros,75,100,95,40,70,110,3,0,0,0,0,2,0,2,12,10,7,5,1,0,61.53846153846154,0,4,2,RU,Yes
Gyarados,95,125,79,60,100,81,6,0,0,0,0,4,0,3,9,9,12,8,3,0,75.0,0,2,1,UU,Yes
Vaporeon,130,65,60,110,95,65,2,0,2,3,0,2,1,2,2,4,8,4,2,0,53.84615384615385,0,2,8,NU,Yes
Aerodactyl,80,105,65,60,75,130,4,2,0,0,0,4,0,3,10,9,6,5,4,0,65.21739130434783,3,4,10,RU,Yes
Snorlax,160,110,65,65,110,30,3,0,0,0,0,3,0,2,21,13,12,9,2,0,85.71428571428571,0,2,9,RU,Yes
Zapdos,90,90,85,125,90,100,7,0,0,3,0,3,0,3,3,3,5,5,4,0,65.21739130434783,3,3,3,OU,Yes
Moltres,90,100,90,125,85,90,8,0,0,3,0,3,0,3,3,3,10,4,4,0,66.66666666666666,3,3,3,OU,Yes
Dragonite,91,134,95,100,100,80,5,0,1,0,0,4,2,3,15,11,15,8,4,0,100.0,3,3,10,OU,Yes
Mewtwo,106,110,90,154,90,130,-1,0,0,1,0,4,0,3,12,12,17,9,3,1,65.21739130434783,3,3,13,Uber,Yes
Mew,100,100,100,100,100,100,-1,3,1,3,2,4,2,3,52,18,42,18,4,0,27.27272727272727,3,3,11,Uber,Yes
Azumarill,100,50,80,60,80,50,7,0,0,0,2,3,2,2,6,8,9,5,2,0,100.0,1,2,9,OU,Yes
Mantine,85,40,70,80,140,70,6,0,0,0,0,3,0,5,12,9,7,4,4,0,66.66666666666666,3,3,1,UU,Yes
Raikou,90,85,75,115,100,115,2,0,0,3,0,3,2,2,6,5,7,6,3,0,65.21739130434783,0,3,12,UU,Yes
Suicune,100,75,115,90,115,85,2,0,0,0,0,3,2,2,4,5,8,5,1,0,65.21739130434783,0,3,1,UU,Yes
Crobat,85,90,80,70,80,130,8,0,0,3,0,4,1,3,7,5,7,6,4,0,55.55555555555556,3,4,3,RU,Yes
