name,hp,atk,def,spa,spd,spe,weight,height,formats,generation
Blastoise,79,83,100,85,105,78,85.5,1.6,NU,RB
Nidoqueen,90,92,87,75,85,76,60.0,1.3,UU,RB
Nidoking,81,102,77,85,75,85,62.0,1.4,OU,RB
Clefable,95,70,73,95,90,60,40.0,1.3,OU,RB
Vileplume,75,80,85,110,90,50,18.6,1.2,NU,RB
Arcanine,90,110,80,100,80,95,155.0,1.9,NU,RB
Tentacruel,80,70,65,80,120,100,55.0,1.6,UU,RB
Slowbro,95,75,110,100,80,30,78.5,1.6,OU,RB
Cloyster,50,95,180,85,45,70,132.5,1.5,RU,RB
Chansey,250,5,5,35,105,50,34.6,1.1,UU,RB
Starmie,60,75,85,100,85,115,80.0,1.1,NU,RB
Tauros,75,100,95,40,70,110,88.4,1.4,NU,RB
Gyarados,95,125,79,60,100,81,235.0,6.5,UU,RB
Vaporeon,130,65,60,110,95,65,29.0,1.0,NU,RB
Aerodactyl,80,105,65,60,75,130,59.0,1.8,NU,RB
Snorlax,160,110,65,65,110,30,460.0,2.1,RU,RB
Zapdos,90,90,85,125,90,100,52.6,1.6,OU,RB
Moltres,90,100,90,125,85,90,60.0,2.0,UU,RB
Dragonite,91,134,95,100,100,80,210.0,2.2,OU,RB
Mewtwo,106,110,90,154,90,130,122.0,2.0,Uber,RB
Mew,100,100,100,100,100,100,4.0,0.4,UU,RB
Azumarill,100,50,80,60,80,50,28.5,0.8,UU,GS
Mantine,85,40,70,80,140,70,220.0,2.1,NU,GS
Raikou,90,85,75,115,100,115,178.0,1.9,RU,GS
Suicune,100,75,115,90,115,85,187.0,2.0,RU,GS
Crobat,85,90,80,70,80,130,75.0,1.8,RU,GS
Quagsire,95,85,85,65,65,35,75.0,1.4,UU,GS
Espeon,65,65,60,130,95,110,26.5,0.9,NU,GS
Umbreon,95,65,110,60,130,65,27.0,1.0,RU,GS
Slowking,95,75,80,100,110,30,79.5,2.0,OU,GS
Steelix,75,85,200,55,65,30,400.0,9.2,RU,GS
Scizor,70,130,100,55,80,65,118.0,1.8,UU,GS
Heracross,80,125,75,40,95,85,54.0,1.5,RU,GS
Skarmory,65,80,140,40,70,70,50.5,1.7,OU,GS
Porygon2,85,80,90,105,95,60,32.5,0.6,RU,GS
Blissey,255,10,10,75,135,55,46.8,1.5,OU,GS
Tyranitar,100,134,110,95,100,61,202.0,2.0,OU,GS
Lugia,106,90,130,90,154,110,216.0,5.2,Uber,GS
Ho-Oh,106,130,90,110,154,90,199.0,3.8,Uber,GS
Celebi,100,100,100,100,100,100,5.0,0.6,NU,GS
Milotic,95,60,79,100,125,81,162.0,6.2,RU,RS
Swampert,100,110,90,85,90,60,81.9,1.5,OU,RS
Gardevoir,68,65,65,125,115,80,48.4,1.6,RU,RS
Exploud,104,91,63,91,73,68,84.0,1.5,NU,RS
Registeel,80,75,150,75,150,50,205.0,1.9,RU,RS
Pelipper,60,50,100,95,70,65,28.0,1.2,OU,RS
Flygon,80,100,80,80,80,100,82.0,2.0,NU,RS
Ninjask,61,90,45,50,50,160,12.0,0.8,NU,RS
Sharpedo,70,120,40,95,40,95,88.8,1.8,RU,RS
Crawdaunt,63,120,85,90,55,55,32.8,1.1,UU,RS
Salamence,95,135,80,110,80,100,102.6,1.5,UU,RS
Metagross,80,135,130,95,90,70,550.0,1.6,RU,RS
Kyogre,100,100,90,150,140,90,352.0,4.5,Uber,RS
Groudon,100,150,140,100,90,90,950.0,3.5,Uber,RS
Rayquaza,105,150,90,150,90,95,206.5,7.0,Uber,RS
Jirachi,100,100,100,100,100,100,1.1,0.3,UU,RS
Rotom-Heat,50,65,107,105,107,86,0.3,0.3,UU,DP
Rotom-Wash,50,65,107,105,107,86,0.3,0.3,UU,DP
Rotom-Mow,50,65,107,105,107,86,0.3,0.3,NU,DP
Roserade,60,70,65,125,105,90,14.5,0.9,RU,DP
Togekiss,85,50,95,120,115,80,38.0,1.5,RU,DP
Magnezone,70,70,115,130,90,60,180.0,1.2,OU,DP
Heatran,91,90,106,130,106,77,430.0,1.7,OU,DP
Gastrodon,111,83,68,92,82,39,29.9,0.9,RU,DP
Bronzong,67,89,116,79,116,33,187.0,1.3,NU,DP
Garchomp,108,130,95,80,85,102,95.0,1.9,OU,DP
Hippowdon,108,112,118,68,72,47,300.0,2.0,OU,DP
