name,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Blastoise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nidoqueen,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Nidoking,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Clefable,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vileplume,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Arcanine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tentacruel,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Slowbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Cloyster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Chansey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Starmie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Tauros,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gyarados,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Vaporeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aerodactyl,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Snorlax,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zapdos,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Moltres,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dragonite,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mewtwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Azumarill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mantine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Raikou,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suicune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crobat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Quagsire,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Espeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Umbreon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slowking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Steelix,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Scizor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heracross,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Skarmory,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Porygon2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Blissey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tyranitar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lugia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Ho-Oh,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Celebi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Milotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Swampert,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gardevoir,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Exploud,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Registeel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pelipper,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Flygon,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ninjask,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sharpedo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Crawdaunt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Salamence,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Metagross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Kyogre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Groudon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rayquaza,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jirachi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Rotom-Heat,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rotom-Wash,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rotom-Mow,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roserade,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Togekiss,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Magnezone,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heatran,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Gastrodon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bronzong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Garchomp,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hippowdon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drapion,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhyperior,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Tangrowth,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mamoswine,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Azelf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dialga,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Palkia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Giratina,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Giratina-Origin,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seismitoad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Krookodile,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ferrothorn,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Chandelure,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Volcarona,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Excadrill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Conkeldurr,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Darmanitan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zoroark,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuniclus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
